Ranking,Job Title,Company,Jobs Posted,Job Type,Category,Salary,Skills,Region,Link,min_salary,max_salary,average_salary
46,"Software Engineer (Frontend, Backend, or Full stack)",Subscript,24,Full-Time,Full-Stack Programming,,,Anywhere in the World,https://weworkremotely.com/remote-jobs/subscript-software-engineer-frontend-backend-or-full-stack-2,,,
47,UI/UX Designer,Crisp,10,Full-Time,Design,"$50,000 - $74,999 USD",,Anywhere in the World,https://weworkremotely.com/remote-jobs/crisp-ui-ux-designer,50000.0,74999.0,62499.5
48,Senior Software Engineer,Intellisync SRL,6,Full-Time,Full-Stack Programming,,,Anywhere in the World,https://weworkremotely.com/remote-jobs/intellisync-srl-senior-software-engineer,,,
49,IFRS Accountant with Multiple Jurisdiction Experience,Flag Theory,10,Full-Time,Management and Finance,,,Anywhere in the World,https://weworkremotely.com/remote-jobs/flag-theory-ifrs-accountant-with-multiple-jurisdiction-experience,,,
50,Inside Sales Representative - U.S. Market,Credit Clerk,6,Full-Time,Sales and Marketing,,"Sales, English",Anywhere in the World,https://weworkremotely.com/remote-jobs/credit-clerk-inside-sales-representative-u-s-market,,,
51,Product Designer,MailerLite,75,Full-Time,Design,"$50,000 - $74,999 USD",,Anywhere in the World,https://weworkremotely.com/remote-jobs/mailerlite-product-designer-3,50000.0,74999.0,62499.5
52,Digital Asset Operations,Escorial Future,2,Full-Time,All Other Remote,,Cryptocurrency,Anywhere in the World,https://weworkremotely.com/remote-jobs/escorial-future-digital-asset-operations,,,
53,FT/PT Remote AI Prompt Engineering & Evaluation - Will Train,DataAnnotation.tech,2,Contract,All Other Remote,,,North America Only,https://weworkremotely.com/remote-jobs/dataannotation-tech-ft-pt-remote-ai-prompt-engineering-evaluation-will-train,,,
54,Languages teachers,AE Virtual Class S.A,3,Contract,All Other Remote,,,Anywhere in the World,https://weworkremotely.com/remote-jobs/ae-virtual-class-s-a-languages-teachers,,,
55,"Staff Backend Engineer (Java), Admin Experience (Open to remote across ANZ)",Canva,3,Full-Time,Design,,"Cross-Browser Development, Graphic Design, Infrastructure Orchestration, Computer Vision, Cross-Selling",,https://weworkremotely.com/remote-jobs/canva-staff-backend-engineer-java-admin-experience-open-to-remote-across-anz,,,
56,Experienced Laravel Developer - APAC Region,Zapiet,23,Full-Time,Full-Stack Programming,,"GoLang, Laravel",Anywhere in the World,https://weworkremotely.com/remote-jobs/zapiet-experienced-laravel-developer-apac-region,,,
57,"Senior Data Engineer, Marketing Technology",Thumbtack,3,Full-Time,Sales and Marketing,,"Cross-Browser Development, Infrastructure Orchestration, MySQL, PostgreSQL, SaaS, NoSQL, PostgreeSQL, Cross-Selling, Data Cleaning, ETL Processes",Anywhere in the World,https://weworkremotely.com/remote-jobs/thumbtack-senior-data-engineer-marketing-technology,,,
58,RevOps Manager,Hummingbird,1,Full-Time,Customer Support,,"Analytics, CRM, Google Analytics, Cyber Security, Endpoint Security, CRM Systems, Analytics Tools, CRM Integration, Ecommerce Web Development, Ecommerce Management",Anywhere in the World,https://weworkremotely.com/remote-jobs/hummingbird-revops-manager,,,
